Incident Number,Exposure Number,ID,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Supervisor District,neighborhood_district,data_as_of,data_loaded_at
22077209,0,220772090,DODGE STREET,2022/06/17,221680293,2022/06/17 02:59:32 AM,2022/06/17 03:05:19 AM,2022/06/17 03:05:56 AM,San Francisco,94102,B02,03,1554,1,4,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,87 Investigate fire out on arrival,,,5,Tenderloin,2022/06/17 03:05:56 AM,2024/11/17 02:16:16 AM
22077219,0,220772190,8TH STREET,2022/06/17,221680374,2022/06/17 04:24:58 AM,2022/06/17 04:30:53 AM,2022/06/17 04:34:48 AM,San Francisco,94103,B03,29,2324,1,4,0,0,0,0,1,324 Motor vehicle accident with no injuries.,N None,31 Provide first aid & check for injuries,,,6,South of Market,2022/06/17 04:34:48 AM,2024/11/17 02:16:16 AM
22077224,0,220772240,THE EMBARCADERO SOU,2022/06/17,221680396,2022/06/17 04:52:37 AM,2022/06/17 04:58:39 AM,2022/06/17 05:01:41 AM,San Francisco,94105,B03,35,2131,1,4,0,0,0,0,1,531 Smoke or odor removal,N None,86 Investigate,,,6,Financial District/South Beach,2022/06/17 05:01:41 AM,2024/11/17 02:16:16 AM
22077228,0,220772280,121 7TH STREET,2022/06/17,221680413,2022/06/17 05:14:59 AM,2022/06/17 05:22:38 AM,2022/06/17 05:22:42 AM,San Francisco,94103,B02,01,2315,1,5,0,0,0,0,1,"600 Good intent call, other",N None,"00 Action taken, other",,,6,South of Market,2022/06/17 05:22:42 AM,2024/11/17 02:16:16 AM
15030507,0,150305070,WEBSTER ST/LOMBARD STREET,2015/03/21,150800248,2015/03/21 01:34:30 AM,2015/03/21 01:38:11 AM,2015/03/21 01:38:55 AM,San Francisco,94123,B04,16,3461,2,9,0,0,0,0,1,"700 False alarm or false call, other",N None,86 Investigate,,,2,Marina,2015/03/21 01:38:55 AM,2024/11/17 02:16:16 AM
22077234,0,220772340,54 MCALLISTER STREET,2022/06/17,221680442,2022/06/17 05:42:02 AM,2022/06/17 05:43:30 AM,2022/06/17 06:01:20 AM,San Francisco,94102,B03,36,1455,8,29,0,0,0,0,1,"150 Outside rubbish fire, other",N None,86 Investigate,45 Remove hazard,,5,Tenderloin,2022/06/17 06:01:20 AM,2024/11/17 02:16:16 AM
22077236,0,220772360,180 12TH STREET,2022/06/17,221680454,2022/06/17 05:54:11 AM,2022/06/17 05:58:59 AM,2022/06/17 06:02:47 AM,San Francisco,94103,B02,36,5116,3,10,0,0,0,0,1,735 Alarm system sounded due to malfunction,N None,86 Investigate,,,6,Mission,2022/06/17 06:02:47 AM,2024/11/17 02:16:16 AM
22077237,0,220772370,DELANCEY STREET,2022/06/17,221680456,2022/06/17 05:55:36 AM,2022/06/17 06:05:36 AM,2022/06/17 06:05:41 AM,San Francisco,94107,B03,35,2134,1,4,0,0,0,0,1,"500 Service Call, other",N None,86 Investigate,,,6,Financial District/South Beach,2022/06/17 06:05:41 AM,2024/11/17 02:16:16 AM
22077238,0,220772380,833 BRYANT STREET,2022/06/17,221680471,2022/06/17 06:08:09 AM,2022/06/17 06:13:42 AM,2022/06/17 06:26:49 AM,San Francisco,94103,B03,08,2255,3,10,0,0,0,0,1,"745 Alarm system activation, no fire - unintentional",N None,86 Investigate,,,6,South of Market,2022/06/17 06:26:49 AM,2024/11/17 02:16:16 AM
22077241,0,220772410,DELANCEY STREET,2022/06/17,221680495,2022/06/17 06:25:59 AM,2022/06/17 06:29:43 AM,2022/06/17 07:28:03 AM,San Francisco,94107,B03,35,2134,4,14,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,11 Extinguishment by fire service personnel,,,6,Financial District/South Beach,2022/06/17 07:28:03 AM,2024/11/17 02:16:16 AM
22077242,0,220772420,888 OFARRELL STREET,2022/06/17,221680503,2022/06/17 06:32:15 AM,2022/06/17 06:35:51 AM,2022/06/17 06:47:11 AM,San Francisco,94109,B04,03,1642,3,10,0,0,0,0,1,735 Alarm system sounded due to malfunction,N None,86 Investigate,,,5,Tenderloin,2022/06/17 06:47:11 AM,2024/11/17 02:16:16 AM
22077244,0,220772440,101 TOWNSEND STREET,2022/06/17,221680509,2022/06/17 06:38:09 AM,2022/06/17 06:42:27 AM,2022/06/17 06:49:52 AM,San Francisco,94107,B03,08,2154,3,11,0,0,0,0,1,"745 Alarm system activation, no fire - unintentional",N None,86 Investigate,,,6,Mission Bay,2022/06/17 06:49:52 AM,2024/11/17 02:16:16 AM
22077245,0,220772450,303 2ND STREET,2022/06/17,221680510,2022/06/17 06:38:31 AM,2022/06/17 06:43:57 AM,2022/06/17 06:47:27 AM,San Francisco,94107,B03,35,2147,3,11,0,0,0,0,1,"745 Alarm system activation, no fire - unintentional",N None,86 Investigate,,,6,Financial District/South Beach,2022/06/17 06:47:27 AM,2024/11/17 02:16:16 AM
22077249,0,220772490,MISSION STREET,2022/06/17,221680544,2022/06/17 07:05:31 AM,2022/06/17 07:13:24 AM,2022/06/17 07:14:18 AM,San Francisco,94103,B02,01,2318,1,4,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,11 Extinguishment by fire service personnel,,,6,South of Market,2022/06/17 07:14:18 AM,2024/11/17 02:16:16 AM
22077251,0,220772510,519 ELLIS STREET,2022/06/17,221680561,2022/06/17 07:14:52 AM,2022/06/17 07:18:44 AM,2022/06/17 07:27:54 AM,San Francisco,94109,B02,03,1555,3,11,0,0,0,0,1,"730 System malfunction, other",N None,86 Investigate,63 Restore fire alarm system,,5,Tenderloin,2022/06/17 07:27:54 AM,2024/11/17 02:16:16 AM
15030508,0,150305080,1415 GUERRERO STREET,2015/03/21,150800250,2015/03/21 01:35:15 AM,2015/03/21 01:39:56 AM,2015/03/21 01:51:44 AM,San Francisco,94110,B06,11,5612,3,10,0,0,0,0,1,733 Smoke detector activation due to malfunction,N None,86 Investigate,,,8,Mission,2015/03/21 01:51:44 AM,2024/11/17 02:16:16 AM
22077253,0,220772530,800 INDIANA STREET,2022/06/17,221680569,2022/06/17 07:19:37 AM,2022/06/17 07:24:44 AM,2022/06/17 07:35:19 AM,San Francisco,94107,B10,25,2535,3,10,0,0,0,0,1,735 Alarm system sounded due to malfunction,N None,"60 Systems and services, other",,,10,Potrero Hill,2022/06/17 07:35:19 AM,2024/11/17 02:16:16 AM
22077261,0,220772610,1188 MISSION STREET,2022/06/17,221680601,2022/06/17 07:37:26 AM,2022/06/17 07:42:32 AM,2022/06/17 07:52:51 AM,San Francisco,94103,B02,01,2318,3,11,0,0,0,0,1,"743 Smoke detector activation, no fire - unintentional",N None,86 Investigate,,,6,South of Market,2022/06/17 07:52:51 AM,2024/11/17 02:16:16 AM
22077265,0,220772650,3421 VICENTE STREET,2022/06/17,221680632,2022/06/17 07:54:16 AM,2022/06/17 08:02:52 AM,2022/06/17 09:24:45 AM,San Francisco,94116,B08,23,7711,1,4,0,0,0,0,1,"320 Emergency medical service incident, other",N None,33 Provide advanced life support (ALS),,,4,Sunset/Parkside,2022/06/17 09:24:45 AM,2024/11/17 02:16:16 AM
22077268,0,220772680,GUERRERO STREET,2022/06/17,221680658,2022/06/17 08:07:32 AM,2022/06/17 08:11:48 AM,2022/06/17 09:23:39 AM,San Francisco,94103,B02,06,5126,1,4,0,0,0,0,1,"320 Emergency medical service incident, other",N None,32 Provide basic life support (BLS),,,8,Mission,2022/06/17 09:23:39 AM,2024/11/17 02:16:16 AM
22077271,0,220772710,1995 OAK STREET,2022/06/17,221680684,2022/06/17 08:16:28 AM,2022/06/17 08:20:23 AM,2022/06/17 08:28:00 AM,San Francisco,94117,B05,12,4544,3,10,0,0,0,0,1,735 Alarm system sounded due to malfunction,N None,86 Investigate,,,5,Haight Ashbury,2022/06/17 08:28:00 AM,2024/11/17 02:16:16 AM
22077273,0,220772730,505 PARNASSUS AVENUE,2022/06/17,221680696,2022/06/17 08:21:56 AM,2022/06/17 08:27:47 AM,2022/06/17 08:31:24 AM,San Francisco,94122,B05,12,7323,3,10,0,0,0,0,1,"744 Detector activation, no fire - unintentional",N None,86 Investigate,,,7,Inner Sunset,2022/06/17 08:31:24 AM,2024/11/17 02:16:16 AM
22077275,0,220772750,210 LINCOLN BL,2022/06/17,221680711,2022/06/17 08:31:02 AM,2022/06/17 08:33:32 AM,2022/06/17 08:36:24 AM,San Francisco,94129,B04,51,4612,3,10,0,0,0,0,1,"500 Service Call, other",N None,"80 Information, investigation & enforcement, other",,,2,Presidio,2022/06/17 08:36:24 AM,2024/11/17 02:16:16 AM
22077285,0,220772850,778 LAKEVIEW AVENUE,2022/06/17,221680828,2022/06/17 09:15:09 AM,2022/06/17 09:19:25 AM,2022/06/17 09:34:56 AM,San Francisco,94112,B09,33,8462,3,11,0,0,0,0,1,"746 Carbon monoxide detector activation, no CO",N None,86 Investigate,,,11,Oceanview/Merced/Ingleside,2022/06/17 09:34:56 AM,2024/11/17 02:16:16 AM
22077289,0,220772890,675 THE EMBARCADERO SOU,2022/06/17,221680884,2022/06/17 09:42:00 AM,2022/06/17 09:46:34 AM,2022/06/17 11:21:04 AM,San Francisco,94107,B03,35,0938,7,27,0,0,0,0,1,364 Surf rescue,N None,"30 Emergency medical services, other",,,6,Mission Bay,2022/06/17 11:21:04 AM,2024/11/17 02:16:16 AM
15030510,0,150305100,1910 GREENWICH STREET,2015/03/21,150800269,2015/03/21 01:47:22 AM,2015/03/21 01:51:28 AM,2015/03/21 02:02:19 AM,San Francisco,94123,B04,16,3444,3,10,0,0,0,0,1,733 Smoke detector activation due to malfunction,N None,86 Investigate,,,2,Marina,2015/03/21 02:02:19 AM,2024/11/17 02:16:16 AM
22077292,0,220772920,632 COMMERCIAL STREET,2022/06/17,221680900,2022/06/17 09:50:25 AM,2022/06/17 09:53:01 AM,2022/06/17 09:59:11 AM,San Francisco,94111,B01,13,1233,3,11,0,0,0,0,1,"700 False alarm or false call, other",N None,86 Investigate,,,3,Chinatown,2022/06/17 09:59:11 AM,2024/11/17 02:16:16 AM
22077310,0,220773100,3835 SCOTT STREET,2022/06/17,221681023,2022/06/17 10:38:10 AM,2022/06/17 10:42:42 AM,2022/06/17 10:55:39 AM,San Francisco,94123,B04,16,4111,1,5,0,0,0,0,1,522 Water or steam leak,N None,"80 Information, investigation & enforcement, other",,,2,Marina,2022/06/17 10:55:39 AM,2024/11/17 02:16:16 AM
22077311,0,220773110,17TH STREET,2022/06/17,221681033,2022/06/17 10:41:43 AM,2022/06/17 10:41:43 AM,2022/06/17 11:17:44 AM,San Francisco,94110,B02,07,5245,3,12,0,0,0,0,1,324 Motor vehicle accident with no injuries.,N None,86 Investigate,,,9,Mission,2022/06/17 11:17:44 AM,2024/11/17 02:16:16 AM
22077312,0,220773120,175 DE HARO STREET,2022/06/17,221681080,2022/06/17 10:56:10 AM,2022/06/17 11:01:44 AM,2022/06/17 11:04:14 AM,San Francisco,94103,B03,29,2413,1,4,0,0,0,0,1,324 Motor vehicle accident with no injuries.,N None,31 Provide first aid & check for injuries,,,6,Mission Bay,2022/06/17 11:04:14 AM,2024/11/17 02:16:16 AM
22077319,0,220773190,370 SOUTH VAN NESS AVENUE,2022/06/17,221681123,2022/06/17 11:10:45 AM,2022/06/17 11:12:44 AM,2022/06/17 11:20:03 AM,San Francisco,94103,B02,07,5225,1,4,0,0,0,0,1,322 Motor vehicle accident with injuries,N None,32 Provide basic life support (BLS),,,9,Mission,2022/06/17 11:20:03 AM,2024/11/17 02:16:16 AM
22077322,0,220773220,501 BEALE STREET,2022/06/17,221681156,2022/06/17 11:21:58 AM,2022/06/17 11:27:29 AM,2022/06/17 11:44:35 AM,San Francisco,94107,B03,35,2134,3,10,0,0,0,0,1,"730 System malfunction, other",N None,63 Restore fire alarm system,,,6,Financial District/South Beach,2022/06/17 11:44:35 AM,2024/11/17 02:16:16 AM
22077327,0,220773270,179 DOLORES STREET,2022/06/17,221681204,2022/06/17 11:40:18 AM,2022/06/17 11:43:15 AM,2022/06/17 11:50:25 AM,San Francisco,94114,B02,06,5227,3,11,0,0,0,0,1,"714 Central station, malicious false alarm",N None,86 Investigate,,,8,Castro/Upper Market,2022/06/17 11:50:25 AM,2024/11/17 02:16:16 AM
22077329,0,220773290,465 MISSOURI STREET,2022/06/17,221681211,2022/06/17 11:42:31 AM,2022/06/17 11:48:27 AM,2022/06/17 11:54:41 AM,San Francisco,94107,B10,37,0252,3,10,0,0,0,0,1,735 Alarm system sounded due to malfunction,N None,"60 Systems and services, other",,,10,Potrero Hill,2022/06/17 11:54:41 AM,2024/11/17 02:16:16 AM
22077330,0,220773300,1537 20TH AVENUE,2022/06/17,221681229,2022/06/17 11:48:28 AM,2022/06/17 11:52:20 AM,2022/06/17 12:02:41 PM,San Francisco,94122,B08,22,7423,2,5,0,0,0,0,1,522 Water or steam leak,N None,64 Shut down system,,,4,Sunset/Parkside,2022/06/17 12:02:41 PM,2024/11/17 02:16:16 AM
22077342,0,220773420,601 COLUMBUS AVENUE,2022/06/17,221681301,2022/06/17 12:12:59 PM,2022/06/17 12:29:09 PM,2022/06/17 12:29:09 PM,San Francisco,94133,B01,28,1334,1,5,0,0,0,0,1,552 Police matter,N None,73 Provide manpower,,,3,Chinatown,2022/06/17 12:29:09 PM,2024/11/17 02:16:16 AM
15030513,0,150305130,300 HAMILTON STREET,2015/03/21,150800344,2015/03/21 02:25:59 AM,2015/03/21 02:31:18 AM,2015/03/21 02:48:16 AM,San Francisco,94134,B10,42,6335,8,29,0,0,0,0,1,"251 Excessive heat, scorch burns with no ignition",N None,"10 Fire control or extinguishment, other",,,9,Portola,2015/03/21 02:48:16 AM,2024/11/17 02:16:16 AM
22077344,0,220773440,465 MISSOURI STREET,2022/06/17,221681304,2022/06/17 12:13:43 PM,2022/06/17 12:20:25 PM,2022/06/17 12:42:17 PM,San Francisco,94107,B10,37,0252,1,4,0,0,0,0,1,"730 System malfunction, other",N None,86 Investigate,,,10,Potrero Hill,2022/06/17 12:42:17 PM,2024/11/17 02:16:16 AM
22077346,0,220773460,328 TEHAMA STREET,2022/06/17,221681312,2022/06/17 12:17:33 PM,2022/06/17 12:21:54 PM,2022/06/17 12:36:22 PM,San Francisco,94103,B03,01,2214,3,10,0,0,0,0,1,"730 System malfunction, other",N None,63 Restore fire alarm system,,,6,South of Market,2022/06/17 12:36:22 PM,2024/11/17 02:16:16 AM
22077347,0,220773470,129 THE EMBARCADERO SOU,2022/06/17,221681321,2022/06/17 12:18:57 PM,2022/06/17 12:22:18 PM,2022/06/17 12:45:53 PM,San Francisco,94105,B03,35,0912,7,28,0,0,0,0,1,364 Surf rescue,N None,86 Investigate,,,6,Financial District/South Beach,2022/06/17 12:45:53 PM,2024/11/17 02:16:16 AM
22077361,0,220773610,501 BEALE STREET,2022/06/17,221681403,2022/06/17 12:45:16 PM,2022/06/17 12:47:01 PM,2022/06/17 12:51:44 PM,San Francisco,94107,B03,35,2134,3,10,0,0,0,0,1,"730 System malfunction, other",N None,63 Restore fire alarm system,,,6,Financial District/South Beach,2022/06/17 12:51:44 PM,2024/11/17 02:16:16 AM
22077383,0,220773830,422 VALENCIA STREET,2022/06/17,221681577,2022/06/17 01:34:18 PM,2022/06/17 01:38:31 PM,2022/06/17 02:29:27 PM,San Francisco,94103,B02,06,5226,3,10,0,0,0,0,1,"700 False alarm or false call, other",N None,86 Investigate,,,9,Mission,2022/06/17 02:29:27 PM,2024/11/17 02:16:16 AM
22077385,0,220773850,106 6TH STREET,2022/06/17,221681579,2022/06/17 01:34:32 PM,2022/06/17 01:37:40 PM,2022/06/17 01:45:46 PM,San Francisco,94103,B03,01,2251,3,10,0,0,0,0,1,"730 System malfunction, other",N None,63 Restore fire alarm system,,,6,South of Market,2022/06/17 01:45:46 PM,2024/11/17 02:16:16 AM
22077414,0,220774140,11 WOOD STREET,2022/06/17,221681751,2022/06/17 02:24:59 PM,2022/06/17 02:34:46 PM,2022/06/17 04:49:03 PM,San Francisco,94118,B05,10,4455,1,5,0,0,0,0,1,"510 Person in distress, other",N None,73 Provide manpower,,,2,Presidio Heights,2022/06/17 04:49:03 PM,2024/11/17 02:16:16 AM
22077415,0,220774150,25 SANCHEZ STREET,2022/06/17,221681761,2022/06/17 02:27:13 PM,2022/06/17 02:30:03 PM,2022/06/17 02:35:10 PM,San Francisco,94117,B05,06,5131,4,16,0,0,0,0,1,"113 Cooking fire, confined to container",N None,86 Investigate,,,8,Castro/Upper Market,2022/06/17 02:35:10 PM,2024/11/17 02:16:16 AM
22077429,0,220774290,MISSION BAY DRIVE,2022/06/17,221681887,2022/06/17 03:12:15 PM,2022/06/17 03:17:08 PM,2022/06/17 03:18:52 PM,San Francisco,94107,B03,04,2264,2,9,0,0,0,0,1,"500 Service Call, other",N None,86 Investigate,,,6,Mission Bay,2022/06/17 03:18:52 PM,2024/11/17 02:16:16 AM
22077437,0,220774370,5TH STREET,2022/06/17,221681939,2022/06/17 03:28:36 PM,2022/06/17 03:32:49 PM,2022/06/17 03:34:06 PM,San Francisco,94103,B01,01,2247,1,4,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,11 Extinguishment by fire service personnel,,,6,Tenderloin,2022/06/17 03:34:06 PM,2024/11/17 02:16:16 AM
22077439,0,220774390,OFARRELL STREET,2022/06/17,221681977,2022/06/17 03:40:12 PM,2022/06/17 03:45:21 PM,2022/06/17 03:46:02 PM,San Francisco,94109,B04,03,3162,1,4,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,87 Investigate fire out on arrival,,,5,Western Addition,2022/06/17 03:46:02 PM,2024/11/17 02:16:16 AM
15030515,0,150305150,101 CALIFORNIA STREET,2015/03/21,150800356,2015/03/21 02:29:30 AM,2015/03/21 02:38:30 AM,2015/03/21 02:45:01 AM,San Francisco,94111,B01,13,1134,3,11,0,0,0,0,1,"745 Alarm system activation, no fire - unintentional",N None,86 Investigate,,,3,Financial District/South Beach,2015/03/21 02:45:01 AM,2024/11/17 02:16:16 AM
